,video_id,Positive Percentage,Channel
115,PHXkhUJWTXM,34.81,['Jane Smith']
116,X7ld45pUueQ,32.5,['Kevin Novobilsky']
117,3hq2c9vdfls,50.0,['Cal Bears']
118,wGQtrwey-TI,51.0,['Strictly Dumpling']
119,_GC5AVsf528,61.5,['NBTVEVO']
120,BRzPaDMeRks,48.0,['UrAvgConsumer']
121,C3cwtcomilA,60.71,['Kevin The Tech Ninja']
122,jehAZhrI7oA,39.0,['Jeremy Jahns']
123,-tCu0tKrzhc,58.0,[]
124,qPDZZj6By3Y,30.0,['BBC Earth']
125,J_e77K4n6Ts,35.5,['Tasty']
126,7nh2Ra-5kY8,56.57,['US Open Tennis Championships']
127,0tOUQt5fem0,84.62,['mayhugh1']
128,zJufeAMRHy8,59.07,['Synthetik Films']
129,UpONjs5kLPc,9.09,['Futbol La Pasion']
130,AHrCI9eSJGQ,83.5,['JeffHK']
131,4LwpGaDKmZ8,50.0,['jeffreestar']
132,f5F2whaRzqw,100.0,['Kerry Wong']
133,Alp_a88C8dY,34.0,['CineFix']
134,MmAL1EOkLUo,33.33,['DarthLucifer08']
135,5kZi3J2S52E,66.0,['NurdRage']
136,a6sywFdvURE,46.0,['CBS This Morning']
137,WAwRqecvMSY,32.5,['Simply Nailogical']
138,uAipi4V5g34,70.73,['Robert Jones']
139,pAsN4lSa7O0,51.0,['Blake Shelton']
140,9e6WeQeBjOI,60.0,['Caters Clips']
141,xtDJ6uEyvnw,53.26,['Cole Truax']
142,8QgMh02JvS8,43.5,['Austin Evans']
143,fQxLlq7lxVM,62.5,['Shameless Maya']
144,T2W7UocH0Hs,49.5,"[""Life Where I'm From""]"
145,zPGRU49esCU,59.5,['Brothers Green Eats']
146,ykvX-E1nuag,56.0,['vlogbrothers']
147,8fH_PAi6Yf4,81.0,['Ms Deb Deb']
148,TDskW3JvTAY,14.0,['How Ridiculous']
149,pwHvK07tUuw,67.0,['Peter Hollens']
150,U2CqZNd6rgM,51.0,['Brave Wilderness']
151,7Ag2oDIeLvo,0.0,['OsbornTramain']
152,bF5sIEuv83k,52.5,['KaneBrownVEVO']
153,CayHgjP1YNQ,48.5,['Matthijs Vlot']
154,FTIStPerVNw,42.0,['The Late Show with Stephen Colbert']
155,AX8-YzMKZhQ,61.0,['SamSmithWorldVEVO']
156,REyxoxScrbU,53.0,['CalvinHarrisVEVO']
157,c3pFWJCQy5E,77.0,['Courtelizz1']
158,eJB1gcydsbU,31.0,['AnthonyPadilla']
159,AR4UgRJOUQY,24.0,['AsapSCIENCE']
160,DGlYMJRwevI,32.0,['Aaron Esser']
161,PGfSaVDymjk,27.0,['GEazyMusicVEVO']
162,a2B9pA8aGUc,50.0,['Big Ten Network']
163,A-fofQ9VpPQ,43.43,['Netflix']
164,pCSgWJzEvrM,62.0,['Anna Akana']
165,bnON1y-fKag,52.0,['Chris Stuckmann']
166,VCVjbrt30tY,43.0,['FifthHarmonyVEVO']
167,2caEL5ATPX4,47.0,['Concert Daily']
168,Ie50Nw9NkOk,27.0,['Complex News']
169,tt2k8PGm-TI,49.0,['ZaynVEVO']
170,mGqR9sgMIyA,36.0,['Fox News']
171,D1KpuWg2hc0,50.0,['RAW']
172,qh7QJ_jLam0,51.0,['Green Day']
173,XovZ04gmQgE,49.0,['Hailee Steinfeld']
174,Zy6vBxqlapw,59.0,['Kelly Clarkson']
175,VEoITVHfyGg,47.0,['SuperCarlinBrothers']
176,XwW6ZWaQ4bs,49.0,['WKRG']
177,Lv5DFKceFac,54.0,['ThomasRhettVEVO']
178,4v38ugGj3u0,32.26,['Deadline Hollywood']
179,H_A0Z4S30Ds,52.0,['AvengedSevenfoldVEVO']
180,ton42cZ6ZYU,35.0,['IISuperwomanII']
181,lBspB4K-F-c,59.0,['Madeyewlook']
182,mTnRc4pVu4w,55.0,['LecraeVEVO']
183,xo2B67vz4HA,47.0,['Linus Tech Tips']
184,rAh_16nooZA,61.0,['Amber Scholl']
185,PPg1gN_ey2o,52.0,['Mr. Kate']
186,k0WRpQU9zK0,44.0,['R3HAB']
187,-1fzGnFwz9M,52.0,"[""Simon's Cat""]"
188,ezgtjMfgxos,29.03,['TIME']
189,fM8yID63CSA,52.0,['TIFF']
190,CYoRmfI0LUc,44.38,['Alexis Ohanian']
191,cNgT8qEQJ3w,35.5,['Norm Krumpe']
192,scIizw2asro,48.75,['Team Coco']
193,xHvVhhFvLtY,43.29,['Brave Wilderness']
194,F4ELqraXx-U,43.14,['LanaDelReyVEVO']
195,bvomHFZO0mk,42.0,['Disney•Pixar']
196,9YyB6sQ4iwA,40.33,['iJustine']
197,0eKdNcP4xrM,53.43,['Bad Lip Reading']
198,QQVWMp_xgGg,40.14,['Comedy Central']
199,YSVlSmZWzm0,37.0,['Vox']
200,cOboLQMO4tQ,24.83,['TP Clips 8']
201,TdH_NL35Nbw,32.33,['The CW Television Network']
202,eERPlIdPJtI,70.5,['boogie2988']
203,R6ja9qNmOaM,40.25,['ESPN']
204,xzPRACH6YwE,38.0,['The Late Late Show with James Corden']
205,zcqZHYo7ONs,39.29,['minutephysics']
206,4X6a3G_0HjY,26.62,['TMZ']
207,unIkqhB2nA0,34.0,['Unbox Therapy']
208,A0lYm7Qsbak,55.33,['UrAvgConsumer']
209,FMVw_Ty8qTY,71.33,['Claire Marshall']
210,3qVHkOOyD5s,40.06,['Demi Lovato News']
211,ZtXkNMbjOEE,48.5,['tkvids']
212,xA70bP5uzao,70.0,['Amy Macedo']
213,IYvEhgYy35I,47.0,['The xx']
214,q9o_VjdugHw,12.5,['NTK Network']
215,HcNcOnIkQQU,57.0,['ImagineDragonsVEVO']
216,QH0fGSqow3c,53.33,['THE RESISTANCE Mind Tripper']
217,h_mpwaCJUrY,65.0,['Alvaro Veloz']
218,lv5uC6cfO5c,37.83,['Stone Sour']
219,uBGECC5U09Q,24.33,['CinemaSins']
220,F1DxLQbx_bU,66.15,['The Scran Line']
221,H8t5M9_Tvzk,49.5,['DepecheModeVEVO']
222,wfZGngrCpys,30.6,['Alan Walker']
223,_lGL4Um83LM,63.16,['WDW News Today']
224,giIP0XdT7SA,42.5,['Doug DeMuro']
225,i2kJUYeb1Kw,38.5,['Niana Guerrero']
226,JZDM1bLn7sM,61.5,['Amber Scholl']
227,g6piCiaGMZs,43.5,['How To Cake It']
228,NYD9ByC0c_I,46.5,['MyHarto']
229,EuvVOA8uvsc,50.6,['Enter Shikari']
230,ei6FVbMysc4,72.0,['La Guardia Cross']
231,0fsKoK9yLE0,62.2,['CrowderVEVO']
232,o0hMhEsMUs0,78.0,['Galen Hooks']
233,z1g7n0QZvvE,29.17,['TechCrunch']
234,S9_fwmdCyzo,18.18,['SULPreservation']
235,EgUXkpAyqps,66.67,['Jersy Del Rio']
236,PTXykKsrxpY,42.0,['iFL TV']
237,H9KaqCBEvvg,40.0,['A Queen Of Magic']
238,368_ovPsJk8,36.49,['FoxSearchlight']
239,tBN9kLaS-uw,55.22,['JennaMarbles']
240,etmUU1bs41s,27.71,['Google']
241,bvim4rsNHkQ,50.93,['SpaceX']
242,bZJpwidiMco,47.0,['Jimmy Kimmel Live']
243,w-n3qiLeVqg,39.29,['Full Frontal with Samantha Bee']
244,1u5jO57eD-U,41.5,['The Late Late Show with James Corden']
245,FSOxXsYVJMQ,32.0,['ibighit']
246,Xul7ku1XxRY,43.0,['MGKVEVO']
247,7YAAyUFL1GQ,44.92,['FallOutBoyVEVO']
248,nImFZRtGeAQ,42.0,['EverythingApplePro']
249,XSLc0d5aM04,30.29,['The Doctors']
250,TngCi2s5rmk,32.0,['Matt Stonie']
251,MdBu21i9aEE,50.14,['Matador Records']
252,IDvy0ybpOUI,52.0,['Chris Stuckmann']
253,Zya-JNMJ62k,39.83,['Jack Black']
254,LolP3Y7_Irs,53.5,['Nile Wilson']
255,cxLQAuQsOWI,51.0,['Gallant']
256,zKriLekFPwg,51.0,['ChrisYoungVEVO']
257,t4QwhVt5Zk0,55.0,['HOT 97']
258,B8G8m08G_yo,30.0,['Tasty']
259,O-eWLaO3gy4,57.33,['Laura in the Kitchen']
260,AQa9pEkQ_0Y,73.8,['Christen Dominique']
261,UqmxHwLI9yg,57.4,['AlyAndAJVEVO']
262,CzYM4ZpSDJg,30.0,['truTV']
263,Wb-6fhfAn2I,40.0,['The School of Life']
264,CcoBJ-dEjGg,49.0,['Exclusive World Premiere']
265,dWWQsXRwHb4,47.75,['Studio C']
266,DdA7tUIzA5Q,64.83,['ToniBraxtonVEVO']
267,bUUt0v4ziG4,23.77,['DNAinfo New York']
268,SjZWJoNYpHI,80.81,['Frane Rogosic']
269,TPnuT2TLvLQ,49.15,['Amazon Video']
270,-s267WkYVoo,45.0,[]
271,iIYXR4axaJY,56.33,['The Gabbie Show']
272,4F2KWDQQMhY,72.8,['Madelaine Petsch']
